x1,x2_1,x2_2,y1_1,y1_2,y2,a1,a2,x11,x12_1,x12_2,y11_1,y11_2,y12,r,d
-0.08097992,-0.0100353295,-0.0100353295,0.999999,-0.0014102408,-0.122981034,1.0,0.0,-0.08138133,-0.10758619,-0.10758619,0.9999925,-0.0038698523,0.16925664,0.0,0.0
-0.08138133,-0.10758619,-0.10758619,0.9999925,-0.0038698523,0.16925664,1.0,0.0,-0.08568478,-0.20511936,-0.20511936,0.9999999,-0.00048472898,0.46071625,0.0,0.0
-0.08568478,-0.20511936,-0.20511936,0.9999999,-0.00048472898,0.46071625,1.0,0.0,-0.09388955,-0.30267692,-0.30267692,0.9999619,0.008729485,0.75324637,0.0,0.0
-0.09388955,-0.30267692,-0.30267692,0.9999619,0.008729485,0.75324637,0.0,1.0,-0.10599663,-0.20517665,-0.20517665,0.99971694,0.023792278,0.46332318,0.0,0.0
-0.10599663,-0.20517665,-0.20517665,0.99971694,0.023792278,0.46332318,1.0,0.0,-0.11420369,-0.30290166,-0.30290166,0.99945354,0.033054963,0.7634101,0.0,0.0
-0.11420369,-0.30290166,-0.30290166,0.99945354,0.033054963,0.7634101,0.0,1.0,-0.12631977,-0.20557596,-0.20557596,0.99883235,0.048310377,0.48131076,0.0,0.0
-0.12631977,-0.20557596,-0.20557596,0.99883235,0.048310377,0.48131076,0.0,1.0,-0.1345428,-0.108372144,-0.108372144,0.99832106,0.057922967,0.20424303,0.0,0.0
-0.1345428,-0.108372144,-0.108372144,0.99832106,0.057922967,0.20424303,0.0,1.0,-0.13887769,-0.011248483,-0.011248483,0.99807614,0.062000472,-0.06960939,0.0,0.0
-0.13887769,-0.011248483,-0.011248483,0.99807614,0.062000472,-0.06960939,1.0,0.0,-0.13932763,-0.10922549,-0.10922549,0.9981615,0.060610905,0.24198428,0.0,0.0
-0.13932763,-0.10922549,-0.10922549,0.9981615,0.060610905,0.24198428,1.0,0.0,-0.14369665,-0.20719223,-0.20719223,0.99785644,0.06544096,0.55316377,0.0,0.0
-0.14369665,-0.20719223,-0.20719223,0.99785644,0.06544096,0.55316377,0.0,1.0,-0.15198433,-0.11012015,-0.11012015,0.9970714,0.07647629,0.28181142,0.0,0.0
-0.15198433,-0.11012015,-0.11012015,0.9970714,0.07647629,0.28181142,0.0,1.0,-0.15638913,-0.013144499,-0.013144499,0.9966245,0.08209477,0.014220492,0.0,0.0
-0.15638913,-0.013144499,-0.013144499,0.9966245,0.08209477,0.014220492,1.0,0.0,-0.15691492,-0.111243784,-0.111243784,0.99660116,0.082378216,0.3316608,0.0,0.0
-0.15691492,-0.111243784,-0.111243784,0.99660116,0.082378216,0.3316608,0.0,1.0,-0.16136467,-0.0143152205,-0.0143152205,0.9960328,0.08898703,0.066082664,0.0,0.0
-0.16136467,-0.0143152205,-0.0143152205,0.9960328,0.08898703,0.066082664,1.0,0.0,-0.16193728,-0.11245471,-0.11245471,0.9959143,0.09030336,0.3854953,0.0,0.0
-0.16193728,-0.11245471,-0.11245471,0.9959143,0.09030336,0.3854953,0.0,1.0,-0.16643547,-0.0155898845,-0.0155898845,0.9951885,0.097979,0.12263729,0.0,0.0
-0.16643547,-0.0155898845,-0.0155898845,0.9951885,0.097979,0.12263729,0.0,1.0,-0.16705906,0.081204616,0.081204616,0.99494517,0.100419655,-0.1375432,0.0,0.0
-0.16705906,0.081204616,0.081204616,0.99494517,0.100419655,-0.1375432,1.0,0.0,-0.16381088,-0.016999412,-0.016999412,0.9952176,0.09768232,0.18510304,0.0,0.0
-0.16381088,-0.016999412,-0.016999412,0.9952176,0.09768232,0.18510304,0.0,1.0,-0.16449085,0.07979851,0.07979851,0.9948492,0.101366,-0.07518335,0.0,0.0
-0.16449085,0.07979851,0.07979851,0.9948492,0.101366,-0.07518335,1.0,0.0,-0.16129892,-0.018411474,-0.018411474,0.9950005,0.09986996,0.24773063,0.0,0.0
-0.16129892,-0.018411474,-0.018411474,0.9950005,0.09986996,0.24773063,1.0,0.0,-0.16203538,-0.116610356,-0.116610356,0.9944935,0.104798555,0.5702162,0.0,0.0
-0.16203538,-0.116610356,-0.116610356,0.9944935,0.104798555,0.5702162,0.0,1.0,-0.16669978,-0.019857852,-0.019857852,0.9932337,0.11613302,0.31236777,0.0,0.0
-0.16669978,-0.019857852,-0.019857852,0.9932337,0.11613302,0.31236777,1.0,0.0,-0.1674941,-0.11814343,-0.11814343,0.99248874,0.1223358,0.6393725,0.0,0.0
-0.1674941,-0.11814343,-0.11814343,0.99248874,0.1223358,0.6393725,0.0,1.0,-0.17221984,-0.021534503,-0.021534503,0.9908433,0.13501684,0.3876894,0.0,0.0
-0.17221984,-0.021534503,-0.021534503,0.9908433,0.13501684,0.3876894,0.0,1.0,-0.17308122,0.07494837,0.07494837,0.98976666,0.1426955,0.14058614,0.0,0.0
